hashtag,category,subcategory,language,estimated_posts,avg_engagement_rate,professional_use
skinspray,Skincare,Products,en,1336509,4.1,False
anti agingspray,Skincare,Products,en,4456565,4.4,False
facemask,Skincare,Products,en,2141352,4.4,False
skinmask,Skincare,Products,en,42387,4.3,False
anti agingmask,Skincare,Products,en,46847,4.3,False
facepeel,Skincare,Products,en,34633,4.5,False
skinpeel,Skincare,Products,en,489811,4.2,False
anti agingpeel,Skincare,Products,en,340071,4.3,False
facescrub,Skincare,Products,en,3399835,4.4,False
skinscrub,Skincare,Products,en,17808,4.2,False
anti agingscrub,Skincare,Products,en,479571,4.4,False
faceexfoliant,Skincare,Products,en,40931,4.2,False
skinexfoliant,Skincare,Products,en,4260513,4.2,False
anti agingexfoliant,Skincare,Products,en,562726,4.2,False
facesunscreen,Skincare,Products,en,466863,4.2,False
skinsunscreen,Skincare,Products,en,44908,4.1,False
anti agingsunscreen,Skincare,Products,en,32771,4.2,False
facespf,Skincare,Products,en,143682,4.1,False
skinspf,Skincare,Products,en,24642,4.2,False
anti agingspf,Skincare,Products,en,345021,4.3,False
selfcare,Wellness Lifestyle,Lifestyle,en,4371012,3.7,False
selflove,Wellness Lifestyle,Lifestyle,en,1499437,3.8,False
mindfulliving,Wellness Lifestyle,Lifestyle,en,47974778,3.6,False
holistichealth,Wellness Lifestyle,Lifestyle,en,15231757,4.2,False
naturalhealing,Wellness Lifestyle,Lifestyle,en,1529853,4.2,False
healthylifestyle,Wellness Lifestyle,Lifestyle,en,433029,3.7,False
wellnesswarrior,Wellness Lifestyle,Lifestyle,en,234340,3.6,False
mindfulmoment,Wellness Lifestyle,Lifestyle,en,4734241,4.0,False
slowliving,Wellness Lifestyle,Lifestyle,en,594138,4.0,False
cleanli ving,Wellness Lifestyle,Lifestyle,en,1473325,3.5,False
consciousliving,Wellness Lifestyle,Lifestyle,en,6758787,3.6,False
esthetician,Professional,Beauty Professional,en,1361907,3.3,True
estheticianlife,Professional,Beauty Professional,en,4133608,3.3,True
beautytherapist,Professional,Beauty Professional,en,1682258,3.5,True
beautytherapistlife,Professional,Beauty Professional,en,35358,3.3,True
massagetherapist,Professional,Beauty Professional,en,16612,3.7,True
massagetherapistlife,Professional,Beauty Professional,en,12072,3.4,True
yogateacher,Professional,Beauty Professional,en,79900,3.3,True
yogateacherlife,Professional,Beauty Professional,en,14721,3.8,True
wellnesscoach,Professional,Beauty Professional,en,285903,3.9,True
wellnesscoachlife,Professional,Beauty Professional,en,46010,3.8,True
holisticcoach,Professional,Beauty Professional,en,1334293,3.2,True
holisticcoachlife,Professional,Beauty Professional,en,10647,3.3,True
skincaretherapist,Professional,Beauty Professional,en,3358293,3.8,True
skincaretherapistlife,Professional,Beauty Professional,en,244464,3.4,True
spatherapist,Professional,Beauty Professional,en,2665359,3.3,True
spatherapistlife,Professional,Beauty Professional,en,1143312,3.6,True
bienetrenaturel,French Wellness,General,fr,28443,4.3,False
bienetrebio,French Wellness,General,fr,598,3.7,False
bienetrevisage,French Wellness,General,fr,3200,3.9,False
beautenaturel,French Wellness,General,fr,3596,3.7,False
beautebio,French Wellness,General,fr,190250,4.1,False
beautevisage,French Wellness,General,fr,13433,3.7,False
soinnaturel,French Wellness,General,fr,483278,4.0,False
soinbio,French Wellness,General,fr,1985,4.3,False
soinvisage,French Wellness,General,fr,421265,3.8,False
massagenaturel,French Wellness,General,fr,16479,4.3,False
massagebio,French Wellness,General,fr,377085,4.2,False
massagevisage,French Wellness,General,fr,3436,3.8,False
detentenaturel,French Wellness,General,fr,305896,4.0,False
detentebio,French Wellness,General,fr,22915,4.1,False
detentevisage,French Wellness,General,fr,4315,3.6,False
relaxationnaturel,French Wellness,General,fr,4090,3.7,False
relaxationbio,French Wellness,General,fr,215859,3.5,False
relaxationvisage,French Wellness,General,fr,18531,3.8,False
spaparis,Location-Based,Paris,en,4197,3.6,False
wellnessparis,Location-Based,Paris,en,40579,3.1,False
massageparis,Location-Based,Paris,en,379089,3.2,False
yogaparis,Location-Based,Paris,en,45678,3.6,False
beautyparis,Location-Based,Paris,en,1989,3.5,False
spalondon,Location-Based,London,en,2739,3.2,False
wellnesslondon,Location-Based,London,en,1781,3.3,False
massagelondon,Location-Based,London,en,711,3.4,False
yogalondon,Location-Based,London,en,1170,3.4,False
beautylondon,Location-Based,London,en,2043,3.0,False
spanewyork,Location-Based,Newyork,en,3317,3.6,False
wellnessnewyork,Location-Based,Newyork,en,68960,3.1,False
massagenewyork,Location-Based,Newyork,en,4233,3.6,False
yoganewyork,Location-Based,Newyork,en,29027,3.5,False
beautynewyork,Location-Based,Newyork,en,29173,3.0,False
spalosangeles,Location-Based,Losangeles,en,3701,3.4,False
wellnesslosangeles,Location-Based,Losangeles,en,48024,3.5,False
massagelosangeles,Location-Based,Losangeles,en,242023,3.7,False
yogalosangeles,Location-Based,Losangeles,en,41062,3.0,False
beautylosangeles,Location-Based,Losangeles,en,473721,3.2,False
spamiami,Location-Based,Miami,en,3743,3.0,False
wellnessmiami,Location-Based,Miami,en,4748,3.4,False
massagemiami,Location-Based,Miami,en,232641,3.7,False
yogamiami,Location-Based,Miami,en,150933,3.8,False
beautymiami,Location-Based,Miami,en,2306,3.1,False
spadubai,Location-Based,Dubai,en,233661,3.2,False
wellnessdubai,Location-Based,Dubai,en,21016,3.6,False
massagedubai,Location-Based,Dubai,en,23386,3.2,False
yogadubai,Location-Based,Dubai,en,261586,3.3,False
beautydubai,Location-Based,Dubai,en,180681,3.1,False
spatokyo,Location-Based,Tokyo,en,98773,3.4,False
wellnesstokyo,Location-Based,Tokyo,en,3778,3.4,False
massagetokyo,Location-Based,Tokyo,en,1741,3.3,False
yogatokyo,Location-Based,Tokyo,en,314832,3.3,False
beautytokyo,Location-Based,Tokyo,en,182878,3.6,False
spasingapore,Location-Based,Singapore,en,3297,3.3,False
wellnesssingapore,Location-Based,Singapore,en,41111,3.1,False
massagesingapore,Location-Based,Singapore,en,12649,3.0,False
yogasingapore,Location-Based,Singapore,en,238886,3.3,False
beautysingapore,Location-Based,Singapore,en,26991,3.6,False
spasydney,Location-Based,Sydney,en,39472,3.4,False
wellnesssydney,Location-Based,Sydney,en,1481,3.2,False
massagesydney,Location-Based,Sydney,en,142043,3.4,False
yogasydney,Location-Based,Sydney,en,4670,3.3,False
beautysydney,Location-Based,Sydney,en,308834,3.5,False
spabarcelona,Location-Based,Barcelona,en,8533,3.7,False
wellnessbarcelona,Location-Based,Barcelona,en,13396,3.8,False
massagebarcelona,Location-Based,Barcelona,en,2552,3.6,False
yogabarcelona,Location-Based,Barcelona,en,189416,3.4,False
beautybarcelona,Location-Based,Barcelona,en,11902,3.2,False
spamilan,Location-Based,Milan,en,38789,3.3,False
wellnessmilan,Location-Based,Milan,en,44758,3.8,False
massagemilan,Location-Based,Milan,en,17372,3.7,False
yogamilan,Location-Based,Milan,en,35618,3.4,False
beautymilan,Location-Based,Milan,en,103260,3.7,False
spaberlin,Location-Based,Berlin,en,4526,3.2,False
wellnessberlin,Location-Based,Berlin,en,314015,3.8,False
massageberlin,Location-Based,Berlin,en,153904,3.7,False
yogaberlin,Location-Based,Berlin,en,1503,3.6,False
beautyberlin,Location-Based,Berlin,en,23738,3.7,False
spamonday,Time-Based,Weekly,en,32420,3.1,False
wellnessmonday,Time-Based,Weekly,en,2947,2.9,False
selfcaremonday,Time-Based,Weekly,en,2918,3.3,False
massagemonday,Time-Based,Weekly,en,942,3.1,False
spatuesday,Time-Based,Weekly,en,3233,3.2,False
wellnesstuesday,Time-Based,Weekly,en,2478,3.2,False
selfcaretuesday,Time-Based,Weekly,en,3807,3.4,False
massagetuesday,Time-Based,Weekly,en,24432,3.0,False
spawednesday,Time-Based,Weekly,en,1978,3.1,False
wellnesswednesday,Time-Based,Weekly,en,1152,3.3,False
selfcarewednesday,Time-Based,Weekly,en,3758,3.1,False
massagewednesday,Time-Based,Weekly,en,14634,2.9,False
spathursday,Time-Based,Weekly,en,37408,2.9,False
wellnessthursday,Time-Based,Weekly,en,4363,3.3,False
selfcarethursday,Time-Based,Weekly,en,45278,2.8,False
massagethursday,Time-Based,Weekly,en,3320,3.5,False
spafriday,Time-Based,Weekly,en,736,3.4,False
wellnessfriday,Time-Based,Weekly,en,15251,3.0,False
selfcarefriday,Time-Based,Weekly,en,875,3.3,False
massagefriday,Time-Based,Weekly,en,3222,2.9,False
spasaturday,Time-Based,Weekly,en,1020,3.1,False
wellnesssaturday,Time-Based,Weekly,en,1606,3.4,False
selfcaresaturday,Time-Based,Weekly,en,29030,2.9,False
massagesaturday,Time-Based,Weekly,en,22551,3.3,False
spasunday,Time-Based,Weekly,en,6062,2.9,False
wellnesssunday,Time-Based,Weekly,en,28611,2.9,False
selfcaresunday,Time-Based,Weekly,en,4069,2.8,False
massagesunday,Time-Based,Weekly,en,47240,3.1,False
greenspa,French Wellness,Brand Hashtags,fr,114,4.1,False
greenspamusicapp,French Wellness,Brand Hashtags,fr,154,4.0,False
greenspaproducts,French Wellness,Brand Hashtags,fr,63,4.1,False
greenspamusic,French Wellness,Brand Hashtags,fr,167,3.9,False
greenspafrance,French Wellness,Brand Hashtags,fr,357,4.1,False
greenspabio,French Wellness,Brand Hashtags,fr,32,4.1,False
greenspabeauty,French Wellness,Brand Hashtags,fr,289,4.2,False
greenspawellness,French Wellness,Brand Hashtags,fr,11,4.1,False
greenspamassage,French Wellness,Brand Hashtags,fr,407,3.9,False
greensparelaxation,French Wellness,Brand Hashtags,fr,394,4.1,False
greenspaorganic,French Wellness,Brand Hashtags,fr,354,3.6,False
greenspaparis,French Wellness,Brand Hashtags,fr,107,4.1,False
greenspanatural,French Wellness,Brand Hashtags,fr,455,4.0,False
greenspafr,French Wellness,Brand Hashtags,fr,99,3.9,False
greenspacosmetics,French Wellness,Brand Hashtags,fr,125,4.0,False
selfcaresunday,Trending,Wellness Trends,en,555356,4.4,False
wellnesswednesday,Trending,Wellness Trends,en,1227790,4.5,False
mindfulmonday,Trending,Wellness Trends,en,400263,4.1,False
facemaskfriday,Trending,Wellness Trends,en,9484298,4.5,False
spasaturday,Trending,Wellness Trends,en,273215,3.8,False
treatyoself,Trending,Wellness Trends,en,11618240,3.9,False
meTime,Trending,Wellness Trends,en,41248873,4.2,False
pamperday,Trending,Wellness Trends,en,23533815,4.0,False
relaxationtime,Trending,Wellness Trends,en,37956958,4.4,False
glowup,Trending,Wellness Trends,en,51860,4.0,False
skincaregoals,Trending,Wellness Trends,en,22077314,3.8,False
healthyhabits,Trending,Wellness Trends,en,2694343,4.5,False
morningroutine,Trending,Wellness Trends,en,2503292,4.3,False
nightroutine,Trending,Wellness Trends,en,26953498,4.2,False
facecare,Body Care,Face,en,4420,4.0,False
facemassage,Body Care,Face,en,1585,3.6,False
facetreatment,Body Care,Face,en,494589,4.0,False
facescrub,Body Care,Face,en,95683,3.8,False
facemask,Body Care,Face,en,12496,3.9,False
eyescare,Body Care,Eyes,en,1451,3.6,False
eyesmassage,Body Care,Eyes,en,25188,3.7,False
eyestreatment,Body Care,Eyes,en,147987,3.9,False
eyesscrub,Body Care,Eyes,en,436627,3.6,False
eyesmask,Body Care,Eyes,en,35494,3.8,False
lipscare,Body Care,Lips,en,2097,3.6,False
lipsmassage,Body Care,Lips,en,341709,3.6,False
lipstreatment,Body Care,Lips,en,122730,3.5,False
lipsscrub,Body Care,Lips,en,19885,3.7,False
lipsmask,Body Care,Lips,en,490095,3.6,False
neckcare,Body Care,Neck,en,39404,4.0,False
neckmassage,Body Care,Neck,en,37126,4.1,False
necktreatment,Body Care,Neck,en,2997,3.5,False
neckscrub,Body Care,Neck,en,205010,3.5,False
neckmask,Body Care,Neck,en,365725,3.6,False
handscare,Body Care,Hands,en,11748,3.7,False
handsmassage,Body Care,Hands,en,23353,3.9,False
handstreatment,Body Care,Hands,en,15746,4.1,False
handsscrub,Body Care,Hands,en,33550,3.6,False
handsmask,Body Care,Hands,en,905,3.7,False
feetcare,Body Care,Feet,en,49675,4.1,False
feetmassage,Body Care,Feet,en,13902,3.5,False
feettreatment,Body Care,Feet,en,33900,4.2,False
feetscrub,Body Care,Feet,en,1358,3.9,False
feetmask,Body Care,Feet,en,22827,4.1,False
bodycare,Body Care,Body,en,384289,3.6,False
bodymassage,Body Care,Body,en,4737,3.7,False
bodytreatment,Body Care,Body,en,40102,3.8,False
bodyscrub,Body Care,Body,en,208879,4.2,False
bodymask,Body Care,Body,en,3332,3.9,False
legscare,Body Care,Legs,en,4996,3.6,False
legsmassage,Body Care,Legs,en,832,3.7,False
legstreatment,Body Care,Legs,en,2485,3.9,False
legsscrub,Body Care,Legs,en,4731,4.1,False
legsmask,Body Care,Legs,en,189701,4.1,False
armscare,Body Care,Arms,en,439494,4.1,False
armsmassage,Body Care,Arms,en,15998,3.9,False
armstreatment,Body Care,Arms,en,14785,3.6,False
armsscrub,Body Care,Arms,en,32376,3.6,False
armsmask,Body Care,Arms,en,3129,4.0,False
backcare,Body Care,Back,en,1975,3.8,False
backmassage,Body Care,Back,en,1700,4.0,False
backtreatment,Body Care,Back,en,293447,3.5,False
backscrub,Body Care,Back,en,416995,4.0,False
backmask,Body Care,Back,en,441634,3.9,False
acnetreatment,Skincare,Skin Concerns,en,59185,3.8,False
acnesolution,Skincare,Skin Concerns,en,41423,4.1,False
wrinklestreatment,Skincare,Skin Concerns,en,498535,4.3,False
wrinklessolution,Skincare,Skin Concerns,en,172977,4.2,False
darkspotstreatment,Skincare,Skin Concerns,en,38203,4.2,False
darkspotssolution,Skincare,Skin Concerns,en,41784,4.2,False
pigmentationtreatment,Skincare,Skin Concerns,en,38246,3.9,False
pigmentationsolution,Skincare,Skin Concerns,en,4500608,4.1,False
rednesstreatment,Skincare,Skin Concerns,en,1300391,3.9,False
rednesssolution,Skincare,Skin Concerns,en,59516,3.8,False
drynesstreatment,Skincare,Skin Concerns,en,160578,3.8,False
drynesssolution,Skincare,Skin Concerns,en,7968,4.2,False
oilinesstreatment,Skincare,Skin Concerns,en,11985,4.2,False
oilinesssolution,Skincare,Skin Concerns,en,737992,4.2,False
porestreatment,Skincare,Skin Concerns,en,372427,3.8,False
poressolution,Skincare,Skin Concerns,en,238675,4.1,False
finelinestreatment,Skincare,Skin Concerns,en,1904863,4.1,False
finelinessolution,Skincare,Skin Concerns,en,50277,3.9,False
agingtreatment,Skincare,Skin Concerns,en,3726781,4.2,False
agingsolution,Skincare,Skin Concerns,en,342709,3.9,False
sensitivitytreatment,Skincare,Skin Concerns,en,97653,4.1,False
sensitivitysolution,Skincare,Skin Concerns,en,420272,4.1,False
dullnesstreatment,Skincare,Skin Concerns,en,6270,3.9,False
dullnesssolution,Skincare,Skin Concerns,en,14483,4.2,False
lavender,Aromatherapy,Essential Oils,en,2065005,4.1,False
lavenderoil,Aromatherapy,Essential Oils,en,27365,4.2,False
lavenderessentialoil,Aromatherapy,Essential Oils,en,2653548,3.9,False
eucalyptus,Aromatherapy,Essential Oils,en,242526,4.3,False
eucalyptusoil,Aromatherapy,Essential Oils,en,197011,4.1,False
eucalyptusessentialoil,Aromatherapy,Essential Oils,en,2783068,4.1,False
peppermint,Aromatherapy,Essential Oils,en,299462,4.3,False
peppermintoil,Aromatherapy,Essential Oils,en,118464,4.3,False
peppermintessentialoil,Aromatherapy,Essential Oils,en,447663,4.2,False
rosemary,Aromatherapy,Essential Oils,en,33512,4.1,False
rosemaryoil,Aromatherapy,Essential Oils,en,5149,4.1,False
rosemaryessentialoil,Aromatherapy,Essential Oils,en,40105,4.4,False
chamomile,Aromatherapy,Essential Oils,en,14761,3.9,False
chamomileoil,Aromatherapy,Essential Oils,en,2608740,3.8,False
chamomileessentialoil,Aromatherapy,Essential Oils,en,2072171,4.0,False
lemon,Aromatherapy,Essential Oils,en,33349,4.2,False
lemonoil,Aromatherapy,Essential Oils,en,488716,3.8,False
lemonessentialoil,Aromatherapy,Essential Oils,en,5725,4.3,False
orange,Aromatherapy,Essential Oils,en,342845,4.3,False
orangeoil,Aromatherapy,Essential Oils,en,47196,4.2,False
orangeessentialoil,Aromatherapy,Essential Oils,en,48557,4.1,False
teatree,Aromatherapy,Essential Oils,en,340744,4.4,False
teatreeoil,Aromatherapy,Essential Oils,en,526913,4.0,False
teatreeessentialoil,Aromatherapy,Essential Oils,en,49064,3.9,False
frankincense,Aromatherapy,Essential Oils,en,187143,4.0,False
frankincenseoil,Aromatherapy,Essential Oils,en,297120,4.0,False
frankincenseessentialoil,Aromatherapy,Essential Oils,en,4040958,4.3,False
sandalwood,Aromatherapy,Essential Oils,en,85648,4.3,False
sandalwoodoil,Aromatherapy,Essential Oils,en,35466,3.9,False
sandalwoodessentialoil,Aromatherapy,Essential Oils,en,16763,4.1,False
ylangylang,Aromatherapy,Essential Oils,en,32242,4.1,False
ylangylangoil,Aromatherapy,Essential Oils,en,367254,3.8,False
ylangylangessentialoil,Aromatherapy,Essential Oils,en,735302,4.0,False
bergamot,Aromatherapy,Essential Oils,en,176056,4.2,False
bergamotoil,Aromatherapy,Essential Oils,en,458911,3.9,False
bergamotessentialoil,Aromatherapy,Essential Oils,en,17591,4.3,False
geranium,Aromatherapy,Essential Oils,en,46540,4.3,False
geraniumoil,Aromatherapy,Essential Oils,en,11831,3.8,False
geraniumessentialoil,Aromatherapy,Essential Oils,en,4046744,4.0,False
jasmine,Aromatherapy,Essential Oils,en,312635,4.1,False
jasmineoil,Aromatherapy,Essential Oils,en,417535,4.2,False
jasmineessentialoil,Aromatherapy,Essential Oils,en,315229,4.2,False
rose,Aromatherapy,Essential Oils,en,29438,4.4,False
roseoil,Aromatherapy,Essential Oils,en,2151811,4.0,False
roseessentialoil,Aromatherapy,Essential Oils,en,5621,4.0,False
vetiver,Aromatherapy,Essential Oils,en,26219,3.9,False
vetiveroil,Aromatherapy,Essential Oils,en,2582641,4.3,False
vetiveressentialoil,Aromatherapy,Essential Oils,en,4967464,3.9,False
patchouli,Aromatherapy,Essential Oils,en,3188094,4.2,False
patchoulioil,Aromatherapy,Essential Oils,en,38083,3.9,False
patchouliessentialoil,Aromatherapy,Essential Oils,en,46480,4.4,False
cedarwood,Aromatherapy,Essential Oils,en,31342,4.3,False
cedarwoodoil,Aromatherapy,Essential Oils,en,29219,4.3,False
cedarwoodessentialoil,Aromatherapy,Essential Oils,en,88743,4.1,False
mindfulnessmeditation,Yoga & Meditation,Meditation Types,en,34292,4.2,False
mindfulnesspractice,Yoga & Meditation,Meditation Types,en,8871,4.0,False
guidedmeditation,Yoga & Meditation,Meditation Types,en,49051,4.1,False
guidedpractice,Yoga & Meditation,Meditation Types,en,47143,4.0,False
transcendentalmeditation,Yoga & Meditation,Meditation Types,en,38128,3.7,False
transcendentalpractice,Yoga & Meditation,Meditation Types,en,24758,3.8,False
vipassanameditation,Yoga & Meditation,Meditation Types,en,146975,4.0,False
vipassanapractice,Yoga & Meditation,Meditation Types,en,45617,3.9,False
lovingkindnessmeditation,Yoga & Meditation,Meditation Types,en,37092,3.9,False
lovingkindnesspractice,Yoga & Meditation,Meditation Types,en,260607,4.0,False
bodyscanmeditation,Yoga & Meditation,Meditation Types,en,180680,4.2,False
bodyscanpractice,Yoga & Meditation,Meditation Types,en,29348,3.9,False
walkingmeditation,Yoga & Meditation,Meditation Types,en,28378,3.8,False
walkingpractice,Yoga & Meditation,Meditation Types,en,8638,3.8,False
mantrameditation,Yoga & Meditation,Meditation Types,en,317197,4.1,False
mantrapractice,Yoga & Meditation,Meditation Types,en,35851,4.1,False
chakrameditation,Yoga & Meditation,Meditation Types,en,204703,4.0,False
chakrapractice,Yoga & Meditation,Meditation Types,en,14633,4.1,False
soundbathmeditation,Yoga & Meditation,Meditation Types,en,32467,3.9,False
soundbathpractice,Yoga & Meditation,Meditation Types,en,34769,3.8,False
breathworkmeditation,Yoga & Meditation,Meditation Types,en,38024,3.8,False
breathworkpractice,Yoga & Meditation,Meditation Types,en,174961,4.2,False
ayurveda,Holistic Health,Alternative Medicine,en,3835,3.8,False
ayurvedahealer,Holistic Health,Alternative Medicine,en,439402,3.7,False
tcm,Holistic Health,Alternative Medicine,en,4460,3.5,False
tcmhealer,Holistic Health,Alternative Medicine,en,435847,3.6,False
acupuncture,Holistic Health,Alternative Medicine,en,448207,3.8,False
acupuncturehealer,Holistic Health,Alternative Medicine,en,290970,3.6,False
herbalism,Holistic Health,Alternative Medicine,en,15161,3.6,False
herbalismhealer,Holistic Health,Alternative Medicine,en,253236,3.6,False
naturopathy,Holistic Health,Alternative Medicine,en,125396,3.8,False
naturopathyhealer,Holistic Health,Alternative Medicine,en,7126,3.7,False
homeopathy,Holistic Health,Alternative Medicine,en,43084,3.5,False
homeopathyhealer,Holistic Health,Alternative Medicine,en,16105,3.7,False
reiki,Holistic Health,Alternative Medicine,en,430201,3.9,False
reikihealer,Holistic Health,Alternative Medicine,en,38498,3.7,False
crystalhealing,Holistic Health,Alternative Medicine,en,24534,3.7,False
crystalhealinghealer,Holistic Health,Alternative Medicine,en,4523,3.8,False
soundhealing,Holistic Health,Alternative Medicine,en,456788,3.8,False
soundhealinghealer,Holistic Health,Alternative Medicine,en,3691,3.6,False
energyhealing,Holistic Health,Alternative Medicine,en,218764,3.6,False
energyhealinghealer,Holistic Health,Alternative Medicine,en,18838,3.6,False
chakrahealing,Holistic Health,Alternative Medicine,en,4917,3.8,False
chakrahealinghealer,Holistic Health,Alternative Medicine,en,6253,3.6,False
healthyeating,Wellness Lifestyle,Nutrition,en,4952470,4.0,False
plantbased,Wellness Lifestyle,Nutrition,en,21475215,4.0,False
vegan,Wellness Lifestyle,Nutrition,en,27317729,3.8,False
vegetarian,Wellness Lifestyle,Nutrition,en,438106,3.5,False
organic,Wellness Lifestyle,Nutrition,en,233836,3.7,False
cleaneating,Wellness Lifestyle,Nutrition,en,46469052,3.5,False
wholéfoods,Wellness Lifestyle,Nutrition,en,342884,3.8,False
nutrition,Wellness Lifestyle,Nutrition,en,45951202,3.6,False
wellnessfood,Wellness Lifestyle,Nutrition,en,690518,4.0,False
healthyfood,Wellness Lifestyle,Nutrition,en,3221197,3.6,False
detox,Wellness Lifestyle,Nutrition,en,47171517,4.0,False
juicecleanse,Wellness Lifestyle,Nutrition,en,1055329,4.1,False
smoothie,Wellness Lifestyle,Nutrition,en,4736421,3.5,False
greensmoothie,Wellness Lifestyle,Nutrition,en,280124,3.9,False
superfood,Wellness Lifestyle,Nutrition,en,1149685,4.0,False
workout,Fitness & Wellness,Fitness,en,62019,3.6,False
workoutmotivation,Fitness & Wellness,Fitness,en,34792374,3.3,False
fitness,Fitness & Wellness,Fitness,en,18419416,3.9,False
fitnessmotivation,Fitness & Wellness,Fitness,en,2155851,3.9,False
fitfam,Fitness & Wellness,Fitness,en,27508751,3.4,False
fitfammotivation,Fitness & Wellness,Fitness,en,1179297,3.5,False
gymlife,Fitness & Wellness,Fitness,en,11118845,3.8,False
gymlifemotivation,Fitness & Wellness,Fitness,en,39376175,3.5,False
exercise,Fitness & Wellness,Fitness,en,166491,4.0,False
exercisemotivation,Fitness & Wellness,Fitness,en,20490200,3.9,False
training,Fitness & Wellness,Fitness,en,139135,3.4,False
trainingmotivation,Fitness & Wellness,Fitness,en,59796,3.4,False
cardio,Fitness & Wellness,Fitness,en,3880730,3.4,False
cardiomotivation,Fitness & Wellness,Fitness,en,54980,4.0,False
strength,Fitness & Wellness,Fitness,en,40637363,3.7,False
strengthmotivation,Fitness & Wellness,Fitness,en,48521701,3.2,False
hiit,Fitness & Wellness,Fitness,en,215020,3.9,False
hiitmotivation,Fitness & Wellness,Fitness,en,7897475,3.6,False
pilates,Fitness & Wellness,Fitness,en,307122,3.3,False
pilatesmotivation,Fitness & Wellness,Fitness,en,4625536,3.4,False
barre,Fitness & Wellness,Fitness,en,26373762,3.8,False
barremotivation,Fitness & Wellness,Fitness,en,42305335,3.4,False
crossfit,Fitness & Wellness,Fitness,en,2898659,3.7,False
crossfitmotivation,Fitness & Wellness,Fitness,en,408850,3.7,False
sleep,Wellness Lifestyle,Sleep & Rest,en,41769,3.6,False
sleepwell,Wellness Lifestyle,Sleep & Rest,en,351170,3.8,False
bedtime,Wellness Lifestyle,Sleep & Rest,en,21403,3.8,False
nightroutine,Wellness Lifestyle,Sleep & Rest,en,12388,3.9,False
sleephealth,Wellness Lifestyle,Sleep & Rest,en,43380,3.7,False
insomnia,Wellness Lifestyle,Sleep & Rest,en,1769701,3.6,False
restful,Wellness Lifestyle,Sleep & Rest,en,39041,3.5,False
bedtimeritùal,Wellness Lifestyle,Sleep & Rest,en,11584,3.6,False
sleephygiene,Wellness Lifestyle,Sleep & Rest,en,34410,3.3,False
goodnight,Wellness Lifestyle,Sleep & Rest,en,22747,3.8,False
mentalhealth,Mental Wellness,Mental Health,en,21270816,3.2,False
mentalhealthawareness,Mental Wellness,Mental Health,en,2567159,3.4,False
anxietyrelief,Mental Wellness,Mental Health,en,43527252,3.5,False
stressrelief,Mental Wellness,Mental Health,en,49468657,3.3,False
depression,Mental Wellness,Mental Health,en,2580945,3.7,False
therapy,Mental Wellness,Mental Health,en,30669151,3.2,False
counseling,Mental Wellness,Mental Health,en,148160,3.5,False
psychology,Mental Wellness,Mental Health,en,159217,3.1,False
mindset,Mental Wellness,Mental Health,en,445101,3.5,False
positivemindset,Mental Wellness,Mental Health,en,31908006,3.5,False
selfhelp,Mental Wellness,Mental Health,en,321549,3.1,False
personalgrowth,Mental Wellness,Mental Health,en,68468,3.1,False
innerwork,Mental Wellness,Mental Health,en,35639950,3.1,False
botox,Beauty Treatments,Advanced Beauty,en,26156,3.8,False
fillers,Beauty Treatments,Advanced Beauty,en,465971,4.1,False
lashextensions,Beauty Treatments,Advanced Beauty,en,361622,3.6,False
microblading,Beauty Treatments,Advanced Beauty,en,9628,3.8,False
permanentmakeup,Beauty Treatments,Advanced Beauty,en,3139025,3.8,False
browlamination,Beauty Treatments,Advanced Beauty,en,2968735,3.9,False
lashlift,Beauty Treatments,Advanced Beauty,en,1442929,4.1,False
spraytan,Beauty Treatments,Advanced Beauty,en,533955,4.2,False
teethwhitening,Beauty Treatments,Advanced Beauty,en,464890,3.9,False
hairremoval,Beauty Treatments,Advanced Beauty,en,3840399,3.9,False
laserhairremoval,Beauty Treatments,Advanced Beauty,en,2636789,3.7,False
ipl,Beauty Treatments,Advanced Beauty,en,3702785,3.8,False
microneedling,Beauty Treatments,Advanced Beauty,en,41545,3.6,False
facialsteamer,Spa Tools,Beauty Tools,en,45905,4.0,False
guasha,Spa Tools,Beauty Tools,en,332883,4.3,False
jaderoller,Spa Tools,Beauty Tools,en,1394,3.7,False
rosequartzroller,Spa Tools,Beauty Tools,en,1878,4.0,False
dermaroller,Spa Tools,Beauty Tools,en,942,4.3,False
ledmask,Spa Tools,Beauty Tools,en,46334,3.8,False
facialbrush,Spa Tools,Beauty Tools,en,341455,3.9,False
konjacsponge,Spa Tools,Beauty Tools,en,274156,3.8,False
siliconebrush,Spa Tools,Beauty Tools,en,28740,4.1,False
huilevegétale,French Wellness,French Terms,fr,19925,3.4,False
huilesessentielles,French Wellness,French Terms,fr,273,3.4,False
aromathérapie,French Wellness,French Terms,fr,515,3.9,False
phytothérapie,French Wellness,French Terms,fr,251,3.7,False
naturopathie,French Wellness,French Terms,fr,49119,3.7,False
médecinenouce,French Wellness,French Terms,fr,3123,3.6,False
remèdenaturel,French Wellness,French Terms,fr,20240,3.5,False
produitsnaturels,French Wellness,French Terms,fr,46036,3.6,False
soinbio,French Wellness,French Terms,fr,184,3.9,False
beauténatu,French Wellness,French Terms,fr,4765,3.3,False
cosmetiquenaturelle,French Wellness,French Terms,fr,42871,3.4,False
spaàdomicile,French Wellness,French Terms,fr,92,3.7,False
massageàdomicile,French Wellness,French Terms,fr,3411,3.6,False
